id,alpha,delta,diameter,Common name
Gum 1,106.082450249275,-10.4653989302575,15,IC 2177
Gum 2,106.425982455173,-11.1519773474487,180,NGC 2327
Gum 3,106.31438988855,-12.3343212264877,4,
Gum 4,109.557757842055,-13.2477687795147,5,NGC 2359
Gum 5,107.42913066268,-18.4283341056524,8,
Gum 6,112.849577662318,-16.9778569094696,15,
Gum 7,113.883668157913,-18.7205259785778,3,
Gum 8,110.285436459109,-25.1883350732853,420,
Gum 9,118.08675232447,-26.4410531310516,10,NGC 2467
Gum 10,124.05088524633,-35.5746314725022,25,
Gum 11,125.197605725843,-36.2172012557817,2,NGC 2579
Gum 12a,119.575235031137,-43.2713551109728,1200,
Gum 12b,147.29043183995,-38.4658034648314,420,
Gum 13,125.488494897135,-42.6365229470952,5,
Gum 14,129.791310340671,-40.4196229972387,100,
Gum 15,131.1626213055,-41.2798433225807,20,
Gum 16,128.106426133928,-44.0903704884746,240,
Gum 17,132.635115617872,-42.1239134358743,100,
Gum 18,132.938866668666,-43.8595055607019,40,
Gum 19,134.106330665118,-43.1010650258571,3,
Gum 20,134.877871654453,-43.7398009080407,7,
Gum 21,133.740150708212,-47.59871701968,50,
Gum 22,134.774401619613,-47.4892685921606,2,
Gum 23,134.926259053479,-47.4403161695257,20,
Gum 24,135.668413766172,-48.3287882284128,2,
Gum 25,135.587135759013,-48.694919923294,7,
Gum 26,141.133624100552,-51.9643613544013,4,
Gum 27,141.69135518829,-56.1346451367207,2,NGC 2899
Gum 28,154.267738655234,-57.9164086940674,12,NGC 3199
Gum 29,156.070311191648,-57.7238333946017,6,
Gum 30,158.499414074271,-58.0997370764976,40,NGC 3293
Gum 31,159.430860789034,-58.653044951471,20,"NGC3324, IC 2599"
Gum 32,161.562413475344,-58.6434068866224,7,
Gum 33,160.963789658141,-59.858195928042,180,NGC 3372
Gum 34a,164.521122364054,-59.7019844423005,15,
Gum 34b,165.792698703792,-59.5385630612754,75,
Gum 35,164.605855498637,-61.2522311963885,10,
Gum 36,168.008486098216,-58.7935908221763,10,
Gum 37,167.489598000716,-60.1091617175931,20,
Gum 38a,168.013654208492,-61.2102894538115,20,
Gum 38b,168.776581895889,-61.21183547096,12,NGC 3603
Gum 39,172.226461548432,-62.6676426338353,20,
Gum 40,172.250148639434,-62.9343435636385,12,IC 2872
Gum 41,172.600855068682,-63.8181588651547,15,
Gum 42,174.591388092766,-63.353817894083,75,"IC 2944,8"
Gum 43,188.748304250064,-61.6180582152396,1,
Gum 44,188.927843645539,-61.8511480728493,1,
Gum 45,191.019482398455,-62.4812470250046,4,
Gum 46,192.615119937334,-61.5782869877157,3,
Gum 47,203.352511274103,-65.9645650921886,3,NGC 5189
Gum 48a,200.028884552472,-62.4925090452366,7,
Gum 48b,203.332460744355,-62.3145082366623,3,
Gum 48c,205.076474108495,-61.7411583937864,5,
Gum 48d,206.744358317433,-62.584384353091,5,
Gum 49,238.917481113896,-54.6455412587683,5,
Gum 50,239.903116087596,-53.7539854123233,2,
Gum 51,242.692588432242,-48.9967294655943,30,
Gum 52,248.452476583379,-48.1128705038117,7,"NGC 6164,5"
Gum 53,250.12298734287,-48.7812058707075,210,NGC 6193
Gum 54,253.564567364588,-45.1993298218312,8,
Gum 55,253.009500537236,-42.1708831316952,240,NGC 6231
Gum 56,254.232490581962,-40.3260728398176,90,IC 4628
Gum 57a,255.301884690812,-38.1992768621975,25,
Gum 57b,256.37489010207,-37.9225281784082,150,NGC 6281
Gum 58,258.086740236838,-38.4897483860729,7,
Gum 59,259.961464762402,-38.2719142201206,100,
Gum 60,258.441577583628,-37.1196201777785,2.9,NGC 6302
Gum 61,259.953927872498,-36.1051641096862,7,
Gum 62,260.229028064345,-36.0858710868523,8,NGC 6334
Gum 63,259.898291435587,-35.7223348257853,25,
Gum 64a,260.027077259287,-35.9711236938264,2,
Gum 64b,260.2261119719,-35.885885006229,6,
Gum 64c,260.048961106571,-35.754233216935,12,
Gum 65,245.414245598729,-35.5889076526595,25,
Gum 66,261.329288371296,-34.2585567526997,35,NGC 6357
Gum 67,263.658548102256,-32.5860588253518,120,NGC 6383
Gum 68,262.293223344225,-31.53246390366,35,
Gum 69,267.193771484279,-31.3184518061875,20,
Gum 70,266.667371948621,-29.3067615782298,10,
Gum 71,268.71390040191,-24.8866416260257,80,
Gum 72,270.907669688803,-24.3319607513627,95,NGC 6523
Gum 73,249.301658413801,-10.5697337480625,600,
Gum 74a,270.246081417908,-23.3383344358109,25,
Gum 74b,271.199882784291,-23.6624162245988,30,NGC 6526
Gum 75,272.32860558539,-23.9847992834092,35,NGC 6559
Gum 76,270.642235336818,-23.0011322045129,20,NGC 6514
Gum 77a,271.627008722242,-21.6581540646634,90,
Gum 77b,274.111676177989,-20.3006159370783,110,
Gum 78,274.429813673887,-19.6808298362709,15,"IC 1283,4"
Gum 79,274.246896490483,-16.6157778131396,40,IC 4701
Gum 80,271.596184466829,-14.1413942328068,15,
Gum 81a,275.317584203295,-16.2220436956198,30,NGC 6618
Gum 81b,274.964703690825,-15.9421158889245,25,"IC 4706,7"
Gum 82,275.600306225556,-14.5692216269984,8,
Gum 83,274.743121381994,-13.86082592505,80,NGC 6611
Gum 84,274.498603477802,-11.9464355858812,70,NGC 6604
Gum 85,274.47141444598,-11.7300219820754,4,
