id,alpha,delta,HII region,HII region size,Distance (kpc),diameter
SFO 1,359.857469,67.394148,S171 (NGC7822),180,0.85,2.427
SFO 2,0.994794,68.578025,S171 (NGC7822),180,0.85,3.478
SFO 3,1.352129,67.294112,S171 (NGC7822),180,0.85,0.647
SFO 4,14.767118,60.892099,S185,120,0.19,3.076
SFO 5,37.257373,61.559016,S190 (IC1805),150,1.9,2.533
SFO 6,38.687738,60.796731,S190 (IC1805),150,1.9,1.267
SFO 7,38.717283,61.779717,S190 (IC1805),150,1.9,6.026
SFO 8,38.905987,61.326919,S190 (IC1805),150,1.9,2.407
SFO 9,39.11329,61.393518,S190 (IC1805),150,1.9,1.212
SFO 10,42.064178,60.40985,S199 (IC1848),120,1.9,2.099
SFO 11,42.870852,60.053896,S199 (IC1848),120,1.9,1.9
SFO 12,43.762387,60.595695,S199 (IC1848),120,1.9,1.9
SFO 13,45.253091,60.672347,S199 (IC1848),120,1.9,3.492
SFO 14,45.384614,60.486616,S199 (IC1848),120,1.9,5.266
SFO 15,80.875478,33.198326,S236 (IC410),55,3.4,1.456
SFO 16,79.953562,-5.868013,S276,1200,0.4,10.83
SFO 17,82.867112,12.089868,S264 (λ Ori),390,0.4,14.612
SFO 18,86.123988,9.148262,S264 (λ Ori),390,0.4,12.033
SFO 19,83.627816,-2.970913,S277 (IC434),120,0.4,3.524
SFO 20,84.520369,-1.752433,S277 (IC434),120,0.4,1.719
SFO 21,84.922146,-3.619953,S277 (IC434),120,0.4,1.891
SFO 22,84.605621,-5.902336,S281,60,0.46,2.765
SFO 23,95.744666,23.166194,S249,80,1.6,3.803
SFO 24,98.730713,4.420449,S275 (NGC2244),100,1.42,1.404
SFO 25,100.263618,10.250386,S273 (NGC2264),100,1.42,2.954
SFO 26,105.946597,-11.763172,S296 (CMa OB1),200,1.15,1.136
SFO 27,105.994686,-11.38867,S296 (CMa OB1),200,1.15,2.78
SFO 28,106.180939,-10.366473,S296 (CMa OB1),200,1.15,2.272
SFO 29,106.218502,-12.157225,S296 (CMa OB1),200,1.15,3.049
SFO 30,274.687908,-13.748124,S49,90,2.2,4.126
SFO 31,312.680122,44.366528,S117 (NGC7000),240,1,4.779
SFO 32,323.098938,57.402309,S131 (IC1396),170,0.75,3.163
SFO 33,323.300921,57.492899,S131 (IC1396),170,0.75,1.375
SFO 34,323.384868,58.057873,S131 (IC1396),170,0.75,3.346
SFO 35,324.022766,58.527494,S131 (IC1396),170,0.75,6.051
SFO 36,324.051658,57.459506,S131 (IC1396),170,0.75,4.446
SFO 37,325.120858,56.599455,S131 (IC1396),170,0.75,0.871
SFO 38,325.176516,58.269353,S131 (IC1396),170,0.75,5.088
SFO 39,326.52847,57.439702,S131 (IC1396),170,0.75,2.75
SFO 40,326.561324,57.149787,S131 (IC1396),170,0.75,2.842
SFO 41,326.6219,57.31134,S131 (IC1396),170,0.75,2.75
SFO 42,326.653464,57.206979,S131 (IC1396),170,0.75,2.43
SFO 43,341.953424,58.04732,S142 (NGC7380),30,2.4,2.22
SFO 44,337.217677,64.228725,S145,90,0.91,4.911
