alpha,delta,id,diameter,HII region
109.598703,-22.103549,SFO 45,3.86,RCW14
109.857575,-44.583699,SFO 46,1.53,Gum Neb.
112.95383,-19.459287,SFO 47,2.27,S306
113.60386,-46.903444,SFO 48,2.9,Gum Neb.
113.920612,-18.816375,SFO 49,3.49,S307
115.118868,-43.105635,SFO 50,1.53,Gum Neb.
122.386747,-36.08345,SFO 51,2.37,Gum Neb.
126.432739,-51.010209,SFO 52,3.06,Gum Neb.
126.632137,-50.674871,SFO 53,2.67,Gum Neb.
128.882013,-40.641144,SFO 54,4.56,NGC2626
130.304316,-40.867596,SFO 55,8.67,RCW27
130.748124,-39.99895,SFO 56,4.9,RCW27
131.032036,-41.270567,SFO 57,3.24,RCW32
131.355879,-41.267309,SFO 58,4.57,RCW32
134.51767,-47.38255,SFO 59,1.06,RCW38
135.005056,-47.527015,SFO 60,1.35,RCW38
165.056389,-59.602622,SFO 61,3.88,NGC3503
165.315991,-59.850172,SFO 62,4.93,NGC3503
165.828253,-59.800245,SFO 63,3.59,NGC3503
168.074929,-58.772191,SFO 64,4.7,BBW347
173.23044,-63.466374,SFO 65,9.94,RCW62
173.456064,-63.272339,SFO 66,1.51,RCW62
173.502993,-63.188477,SFO 67,4.25,RCW62
173.883097,-63.247578,SFO 68,5.26,RCW62
175.296644,-63.386869,SFO 69,5.59,RCW62
175.54662,-63.130582,SFO 70,2.57,RCW62
197.0527,-62.174025,SFO 71,6.43,(Cen R1)
199.782169,-62.562166,SFO 72,1.95,RCW75
200.0239,-62.400941,SFO 73,2.51,RCW75
214.925234,-61.421289,SFO 74,4.31,RCW85
238.959848,-54.649518,SFO 75,4.61,RCW98
242.660659,-49.09767,SFO 76,2.29,RCW105
244.97446,-25.56085,SFO 77,0.35,(σ Sco)
245.220335,-25.13532,SFO 78,0.27,(σ Sco)
250.000544,-48.862391,SFO 79,13.13,RCW108
250.069885,-48.706794,SFO 80,2.94,RCW108
250.286531,-49.295822,SFO 81,2.76,RCW108
251.708996,-41.231631,SFO 82,1.87,RCW113/116
253.049798,-40.802376,SFO 83,1.85,RCW113/116
253.437755,-40.122785,SFO 84,5.44,RCW113/116
254.776578,-42.701041,SFO 85,5.09,RCW113/116
267.400597,-31.486822,SFO 86,3.9,RCW134
270.714799,-24.368945,SFO 87,4.26,M8
271.069988,-24.116382,SFO 88,4.61,M8
272.476402,-24.082327,SFO 89,2.29,Siméis 188
